TWT,AMP
1371,-7.27E-08
1371.08,-4.59E-07
1371.16,-9.41E-07
1371.24,-9.36E-07
1371.32,-3.99E-07
1371.4,-3.22E-08
1371.48,-2.95E-07
1371.56,-6.25E-07
1371.64,-9.12E-07
1371.72,-1.13E-06
1371.8,-1.26E-06
1371.88,-1.36E-06
1371.96,-1.41E-06
1372.04,-1.34E-06
1372.12,-1.08E-06
1372.2,-6.78E-07
1372.28,-2.55E-07
1372.6,-1.75E-07
1372.68,-6.30E-07
1372.76,-1.03E-06
1372.84,-1.10E-06
1372.92,-1.06E-06
1373,-9.10E-07
1373.08,-5.36E-07
1373.16,-2.87E-07
1373.24,-1.50E-07
1373.32,-1.34E-07
1373.4,-3.05E-07
1373.48,-4.92E-07
1373.56,-7.14E-07
1373.64,-9.54E-07
1373.72,-1.04E-06
1373.8,-1.11E-06
1373.88,-1.18E-06
1373.96,-1.24E-06
1374.04,-1.35E-06
1374.12,-1.49E-06
1374.2,-1.62E-06
1374.28,-1.70E-06
1374.36,-1.66E-06
1374.44,-1.46E-06
1374.52,-1.24E-06
1374.6,-1.04E-06
1374.68,-8.16E-07
1374.76,-8.06E-07
1374.84,-9.21E-07
1374.92,-1.10E-06
1375,-1.30E-06
1375.08,-1.49E-06
1375.16,-1.75E-06
1375.24,-2.21E-06
1375.32,-2.26E-06
1375.4,-2.09E-06
1375.48,-1.79E-06
1375.56,-1.47E-06
1375.64,-1.17E-06
1375.72,-1.08E-06
1375.8,-1.13E-06
1375.88,-1.23E-06
1375.96,-1.33E-06
1376.04,-1.43E-06
1376.12,-1.54E-06
1376.2,-1.71E-06
1376.28,-1.89E-06
1376.36,-2.07E-06
1376.44,-2.27E-06
1376.52,-2.49E-06
1376.6,-2.57E-06
1376.68,-2.60E-06
1376.76,-2.61E-06
1376.84,-2.64E-06
1376.92,-2.73E-06
1377,-2.85E-06
1377.08,-2.99E-06
1377.16,-3.21E-06
1377.24,-3.46E-06
1377.32,-3.74E-06
1377.4,-4.03E-06
1377.48,-4.34E-06
1377.56,-4.67E-06
1377.64,-4.99E-06
1377.72,-5.26E-06
1377.8,-5.41E-06
1377.88,-5.57E-06
1377.96,-5.68E-06
1378.04,-5.71E-06
1378.12,-5.80E-06
1378.2,-5.91E-06
1378.28,-6.05E-06
1378.36,-6.22E-06
1378.44,-6.39E-06
1378.52,-6.53E-06
1378.6,-6.67E-06
1378.68,-6.86E-06
1378.76,-7.08E-06
1378.84,-7.34E-06
1378.92,-7.64E-06
1379,-7.99E-06
1379.08,-8.31E-06
1379.16,-8.61E-06
1379.24,-8.84E-06
1379.32,-8.96E-06
1379.4,-9.11E-06
1379.48,-9.26E-06
1379.56,-9.42E-06
1379.64,-9.57E-06
1379.72,-9.83E-06
1379.8,-1.01E-05
1379.88,-1.04E-05
1379.96,-1.07E-05
1380.04,-1.10E-05
1380.12,-1.13E-05
1380.2,-1.16E-05
1380.28,-1.20E-05
1380.36,-1.23E-05
1380.44,-1.27E-05
1380.52,-1.32E-05
